beta,restart_idx,obj,D1,D7,D30,D180,rmse,h,lam,k,p,c,tau,f_share_proxy,total_act_M,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h
0.327,0,20.318584340696365,0.7862857278229327,0.5603492530137831,0.2852384005629223,0.07580756251787504,0.12832177202829556,2.1186973393397928,19.0206054758368,0.6386018461359169,0.16009865082891028,0.40690542099403904,5999.999999999995,0.12479282473610848,4.447064517088214,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.327,1,20.318678697064467,0.7851069583828529,0.5585641970489931,0.28435979977285025,0.07575247463270884,0.1283296752274832,2.119409551607909,18.89473542691846,0.6354556521452748,0.1594759039536512,0.4071063308332754,5996.212788929061,0.12479987763364507,4.455811271917981,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.327,2,20.55140187959462,0.5818583293406762,0.365901992354687,0.20187890311834264,0.06418197359190828,0.12913742583362137,2.1225421375903597,6.992485274112363,0.3380851532515492,0.05242056558531605,0.33295977060563947,5999.999967852196,0.12595215460422543,6.4628359123825705,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.443,0,20.97407612488636,0.8262987419676894,0.6751104743135042,0.37172332678848685,0.08926895848272468,0.13003180514216967,2.097770366866224,30.000000000000004,0.8782540332097369,0.22090739435675108,0.38721110350237503,5999.999999999995,0.16159386177154655,3.5612516040360642,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
0.443,1,21.222049583902546,0.7744492130601788,0.5560143831911672,0.2958606646933525,0.0820096633332409,0.13087702071319707,2.099839928108514,19.83192731291015,0.6077293249030373,0.165932409070559,0.3957941945468564,5999.999999999995,0.16190256512062864,4.237201478101245,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.443,2,21.608762563090682,0.7532053869632277,0.5550117416436703,0.3317869712872699,0.09238683213424315,0.13213484817188445,2.1049705283462674,26.45761180061891,0.5022241619706658,0.12197541526164203,0.24017885994238708,5999.999999999995,0.16200897552218893,4.338865127416622,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.555,0,22.608258436884594,0.8268563848628073,0.6922584187102917,0.37371310449752165,0.0949416358879632,0.13483783742694386,2.0881241632823935,29.999999910449144,0.98568596094906,0.24266332870924723,0.3938841017815274,5999.999999999995,0.19435213223296624,3.357246356511138,0.47000362924573563,0.35,0.05,0.85,7.600902459542082,2.14
0.555,1,22.855449849582282,0.799036647185342,0.6053670024593313,0.32726761383952213,0.08803048240469492,0.135613995777395,2.086130622462999,24.146299654936357,0.702859239235126,0.1967210559802801,0.3916510066522476,5999.999999999995,0.19456854963692666,3.7927294551594977,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
0.555,2,23.69673372396037,0.6633108544567281,0.5275194485185568,0.349404624039081,0.10478507092140334,0.1380929363632141,2.0832813030166646,29.860776071955918,0.5558298651899898,0.4,0.37070102813904426,218.38062666660326,0.1952805034595312,4.388610299514997,0.26236426446749106,0.25,0.1,0.8,7.313220387090301,2.13
