beta,D1,D7,D30,D180,rmse,h,lam,k,p,c,tau,f_share_proxy,total_act_M,ratio,n_restarts,obj_restart_lo,obj_restart_hi,obj_rel_spread,D180_restart_lo,D180_restart_hi
0.327,0.7862857278229327,0.5603492530137831,0.2852384005629223,0.07580756251787504,0.12832177202829556,2.1186973393397928,19.0206054758368,0.6386018461359169,0.16009865082891028,0.40690542099403904,5999.999999999995,0.12479282473610848,4.447064517088214,0.45291005238040366,3,20.318584340696365,20.55140187959462,0.01145835433189817,0.06418197359190828,0.07580756251787504
0.443,0.8262987419676894,0.6751104743135042,0.37172332678848685,0.08926895848272468,0.13003180514216967,2.097770366866224,30.000000000000004,0.8782540332097369,0.22090739435675108,0.38721110350237503,5999.999999999995,0.16159386177154655,3.5612516040360642,0.45241442929803066,3,20.97407612488636,21.608762563090682,0.030260519434810708,0.0820096633332409,0.09238683213424315
0.555,0.8268563848628073,0.6922584187102917,0.37371310449752165,0.0949416358879632,0.13483783742694386,2.0881241632823935,29.999999910449144,0.98568596094906,0.24266332870924723,0.3938841017815274,5999.999999999995,0.19435213223296624,3.357246356511138,0.4516647866384308,3,22.608258436884594,23.69673372396037,0.04814503028238422,0.08803048240469492,0.10478507092140334
