date,extraction_run,official_dau,ccu,g,interval_id,r_h2.2,r_h2.128,q,event_flag
2023-08-11,1,89820.9,3933.3850224114644,0.0,1,-0.5222753859074754,-0.5061117711449463,1.0509941510035543,False
2023-08-14,1,89820.9,4077.1005103479224,0.0,1,-0.5048205917232356,-0.4880664012176308,1.0893946982088818,False
2023-08-16,1,89820.9,3662.1789139369785,0.0,1,-0.5552144022438619,-0.5401652654776767,0.9785283150635039,False
2023-08-19,1,88157.6,3081.7726485899902,0.0,1,-0.618645040420587,-0.6057420530663962,0.8389809110747088,False
2023-08-22,1,86494.2,3578.9852797331755,0.0,1,-0.5486000705375925,-0.5333271405933757,0.9930798448172966,False
2023-08-24,1,86494.2,4806.138711160411,1.0,1,-0.3938252030569688,-0.3733155294761895,1.3335845532746688,True
2023-08-27,1,86494.2,3356.5701404475712,0.36787944117144233,1,-0.5766522055249648,-0.5623284079675388,0.9313651478450776,True
2023-08-30,1,86494.2,3938.2471042471043,0.1353352832366127,1,-0.5032881316585889,-0.48648209100042084,1.0927661103511046,True
2023-09-01,1,89820.9,3379.857699468804,0.0,1,-0.5895033905995593,-0.5756144075747324,0.9030925406809696,False
2023-09-04,1,91484.2,3375.7443772547076,0.0,1,-0.5974572407331094,-0.5838373729383649,0.8855940703871595,False
2023-09-07,1,91484.2,4067.6814721400942,1.0,1,-0.5149467671051283,-0.49853519155605364,1.0671171123687178,True
2023-09-09,1,93147.6,3740.5191422526336,0.513417119032592,1,-0.5619246940336764,-0.5471025972152669,0.9637656731259121,True
2023-09-12,1,96474.3,3508.5872552635383,0.18887560283756183,1,-0.6032570608944798,-0.5898334276164734,0.8728344660321445,True
2023-09-15,1,99800.9,6983.654674777379,1.0,1,-0.23662688688334343,-0.21079847328165202,1.6794208488566447,True
2023-09-17,1,101464.3,6652.0932337818185,0.513417119032592,1,-0.2847899229278241,-0.26059108573365275,1.573462169558787,True
2023-09-20,1,103127.6,5328.360381118446,0.18887560283756183,1,-0.4363529472806562,-0.41728218233902425,1.2400235159825566,True
2023-09-23,1,104790.9,5860.9968408115565,1.0,1,-0.3898501935348595,-0.3692060271507007,1.342329574223309,True
2023-09-25,1,113107.6,4909.492931652503,0.513417119032592,1,-0.5264853581108927,-0.5104641860169004,1.0417322121560362,True
2023-09-28,1,114771.0,3868.806766850698,0.18887560283756183,1,-0.632266297851545,-0.6198241801096799,0.8090141447266013,True
2023-10-01,1,114771.0,4268.206044006535,0.0,1,-0.5943030229518035,-0.5805764335028044,0.8925333495060324,False
2023-10-03,1,118097.6,4567.07183746773,0.0,1,-0.5781235023973026,-0.5638494855611211,0.9281282947259344,False
2023-10-06,1,118097.6,3573.99860392667,0.0,1,-0.6698571717020496,-0.6586869256318182,0.726314222255491,False
2023-10-09,1,119761.0,3695.223327560514,0.0,1,-0.6634002120076564,-0.6520114973763365,0.7405195335831559,False
2023-10-11,1,119761.0,3428.8646469049695,0.0,1,-0.6876629608298677,-0.6770951662714798,0.687141486174291,False
2023-10-14,1,119761.0,3693.0260706134045,0.0,1,-0.6636003612698256,-0.6522184186060228,0.7400792052063836,False
2023-10-17,1,119761.0,3069.856709908119,0.0,1,-0.7203651779271183,-0.7109038493607427,0.6151966085603398,False
2023-10-19,1,119761.0,3200.495257215401,0.0,1,-0.7084652456552876,-0.6986012878015191,0.6413764595583673,False
2023-10-22,1,118097.6,3563.1126498476488,0.0,1,-0.6708627455890738,-0.6597265226954709,0.7241019597040378,False
2023-10-25,1,118097.6,3458.181622867107,0.0,1,-0.6805555938138895,-0.6697473244316527,0.7027776936094431,False
2023-10-27,1,116434.3,3843.0869273147823,0.7165313105737893,1,-0.639929259147727,-0.6277464145324245,0.7921556298750005,True
2023-10-30,1,116434.3,3469.3417259771118,0.26359713811572677,1,-0.6749466069415399,-0.6639485598079828,0.7151174647286124,True
2023-11-02,1,116434.3,3150.39116479753,0.0,1,-0.7048300748493094,-0.6948431224945868,0.6493738353315194,False
2023-11-04,1,116434.3,3517.1258052829257,0.0,1,-0.6704695682583139,-0.6593200423723169,0.7249669498317095,False
2023-11-07,1,114771.0,3203.1101133685042,0.0,1,-0.6955413874710031,-0.6852401562200221,0.6698089475637932,False
2023-11-10,1,108117.6,3248.9254615786153,0.0,1,-0.6721826676024879,-0.6610911037243765,0.7211981312745266,False
2023-11-12,1,104790.9,3425.756793842671,0.0,1,-0.6433670070925481,-0.6313004772573336,0.7845925843963942,False
2023-11-15,1,103127.6,3893.0500996388096,0.0,1,-0.5881835953653028,-0.5742499576145048,0.9059960901963338,False
