interval,date_range,n,median_r,mean_r,median_r_eventdays,median_r_noneventdays,n_event_days
1,2023-08-01..2024-07-01,122,-0.4100788794653447,-0.40549198527859814,-0.3604298075271545,-0.46429723265308215,52
2,2024-07-01..2025-01-01,126,-0.17978025869221015,-0.170734160232516,-0.10228407615619522,-0.24590547707606863,56
3,2025-01-01..2025-07-01,126,-0.10121234475873747,-0.1007384569187182,0.04432205929570965,-0.2223894995478295,49
4,2025-07-01..2026-01-31,135,-0.09091788171697146,-0.05102370432024439,0.06668664526069057,-0.13037734788179156,44
