date,platform,extraction_run,official_dau,model_dau,interval_id
2023-08-11,STEAM,1,89820.9,50986.51543007585,1
2023-08-14,STEAM,1,89820.9,49755.02351375482,1
2023-08-16,STEAM,1,89820.9,48995.10163113069,1
2023-08-19,STEAM,1,88157.6,47934.33388313761,1
2023-08-22,STEAM,1,86494.2,46956.538479666146,1
2023-08-24,STEAM,1,86494.2,46345.270989891826,1
2023-08-27,STEAM,1,86494.2,45482.47181346352,1
2023-08-30,STEAM,1,86494.2,44677.78869860139,1
2023-09-01,STEAM,1,89820.9,44170.37881406165,1
2023-09-04,STEAM,1,91484.2,43448.69070365644,1
2023-09-07,STEAM,1,91484.2,42770.040454808855,1
2023-09-09,STEAM,1,93147.6,42339.43265618786,1
2023-09-12,STEAM,1,96474.3,41723.533272539076,1
2023-09-15,STEAM,1,99800.9,59641.514926130236,1
2023-09-17,STEAM,1,101464.3,62164.39848146697,1
2023-09-20,STEAM,1,103127.6,59043.131787562124,1
2023-09-23,STEAM,1,104790.9,53278.44777603412,1
2023-09-25,STEAM,1,113107.6,51209.152395475954,1
2023-09-28,STEAM,1,114771.0,49012.45063181185,1
2023-10-01,STEAM,1,114771.0,47372.08664825631,1
2023-10-03,STEAM,1,118097.6,46465.2490406956,1
2023-10-06,STEAM,1,118097.6,45295.36529394872,1
2023-10-09,STEAM,1,119761.0,44292.226825515376,1
2023-10-11,STEAM,1,119761.0,43693.745034701715,1
2023-10-14,STEAM,1,119761.0,42879.190705653935,1
2023-10-17,STEAM,1,119761.0,42145.74916755658,1
2023-10-19,STEAM,1,119761.0,41694.08834624408,1
2023-10-22,STEAM,1,118097.6,41063.8425279717,1
2023-10-25,STEAM,1,118097.6,40482.25557916591,1
2023-10-27,STEAM,1,116434.3,41307.12230242617,1
2023-10-30,STEAM,1,116434.3,40729.40036709297,1
2023-11-02,STEAM,1,116434.3,39957.625659449965,1
2023-11-04,STEAM,1,116434.3,39526.8393220931,1
2023-11-07,STEAM,1,114771.0,38976.58406433776,1
2023-11-10,STEAM,1,108117.6,38488.643824776824,1
2023-11-12,STEAM,1,104790.9,38187.29974254155,1
2023-11-15,STEAM,1,103127.6,37763.30221630269,1
2023-11-18,STEAM,1,103127.6,55821.16660185629,1
2023-11-20,STEAM,1,103127.6,54289.68373218697,1
2023-11-23,STEAM,1,103127.6,49525.4862196119,1
2023-11-25,STEAM,1,103127.6,56203.98725346289,1
2023-11-28,STEAM,1,104790.9,53676.78077939752,1
2023-12-01,STEAM,1,104790.9,70865.70206532818,1
2023-12-03,STEAM,1,108117.6,68998.99317211678,1
2023-12-06,STEAM,1,109781.0,64011.506806679536,1
2023-12-09,STEAM,1,113107.6,57571.55708057616,1
2023-12-11,STEAM,1,111444.3,55361.16715898273,1
2023-12-14,STEAM,1,109781.0,75364.9897711165,1
2023-12-17,STEAM,1,109781.0,76300.70265416549,1
2023-12-19,STEAM,1,108117.6,72727.24921009551,1
2023-12-22,STEAM,1,104790.9,78724.54396456815,1
2023-12-25,STEAM,1,101464.3,76364.01469791147,1
2023-12-27,STEAM,1,101464.3,72830.92446351101,1
2023-12-30,STEAM,1,101464.3,88545.08376847325,1
2024-01-02,STEAM,1,101464.3,87625.45882288789,1
2024-01-04,STEAM,1,109781.0,83280.92853280064,1
2024-01-07,STEAM,1,111444.3,74674.97881839161,1
2024-01-10,STEAM,1,114771.0,69883.06512996418,1
2024-01-12,STEAM,1,114771.0,95260.22187526675,1
2024-01-15,STEAM,1,114771.0,90905.52968796919,1
2024-01-18,STEAM,1,116434.3,81796.33320937306,1
2024-01-20,STEAM,1,114771.0,77513.74242141584,1
2024-01-23,STEAM,1,114771.0,73061.05073832377,1
2024-01-26,STEAM,1,118097.6,69736.69221122088,1
2024-01-28,STEAM,1,119761.0,67901.03172001363,1
2024-01-31,STEAM,1,119761.0,65542.54600194452,1
2024-02-03,STEAM,1,119761.0,84909.01926536753,1
2024-02-05,STEAM,1,118097.6,82239.193897085,1
2024-02-08,STEAM,1,118097.6,75537.87357547125,1
2024-02-11,STEAM,1,116434.3,71122.21136160976,1
2024-02-13,STEAM,1,114771.0,69027.8702187314,1
2024-02-16,STEAM,1,116434.3,66500.24384236174,1
2024-02-19,STEAM,1,116434.3,64438.568504533076,1
2024-02-21,STEAM,1,116434.3,63244.05030046902,1
2024-02-24,STEAM,1,116434.3,116552.15802217473,1
2024-02-27,STEAM,1,116434.3,108513.43448217705,1
2024-02-29,STEAM,1,114771.0,97390.67427471081,1
2024-03-03,STEAM,1,114771.0,88534.59354448199,1
2024-03-06,STEAM,1,114771.0,83041.32483443197,1
2024-03-08,STEAM,1,116434.3,80239.69751130274,1
2024-03-11,STEAM,1,116434.3,76818.92759389935,1
2024-03-13,STEAM,1,118097.6,74906.98444712948,1
2024-03-16,STEAM,1,118097.6,72435.76477798993,1
2024-03-19,STEAM,1,118097.6,70324.5623610378,1
2024-03-21,STEAM,1,118097.6,69072.84206713375,1
2024-03-24,STEAM,1,118097.6,67382.83783963502,1
2024-03-27,STEAM,1,121424.3,65877.88829594666,1
2024-03-29,STEAM,1,131404.3,81114.6524561859,1
2024-04-01,STEAM,1,131404.3,79002.64224112476,1
2024-04-04,STEAM,1,126414.3,73920.60996261341,1
2024-04-06,STEAM,1,124751.0,80618.18246029837,1
2024-04-09,STEAM,1,124751.0,77590.36759732635,1
2024-04-12,STEAM,1,123087.7,110805.33228023433,1
2024-04-14,STEAM,1,121424.3,108471.76284023674,1
2024-04-17,STEAM,1,121424.3,100493.19762048604,1
2024-04-20,STEAM,1,124751.0,89586.33449853619,1
2024-04-22,STEAM,1,123087.7,85954.62945929737,1
2024-04-25,STEAM,1,121424.3,81860.90200015958,1
2024-04-28,STEAM,1,121424.3,78707.95573475293,1
2024-04-30,STEAM,1,128077.7,76946.17863381038,1
2024-05-03,STEAM,1,126414.3,140192.48609623546,1
2024-05-06,STEAM,1,124751.0,134814.9484040562,1
2024-05-08,STEAM,1,126414.3,126702.06814729779,1
2024-05-11,STEAM,1,133067.7,109254.424748288,1
2024-05-14,STEAM,1,128077.7,101572.84875968297,1
2024-05-16,STEAM,1,119761.0,97785.33036940442,1
2024-05-19,STEAM,1,119761.0,93245.65443136501,1
2024-05-22,STEAM,1,121424.3,89609.66715806891,1
2024-05-24,STEAM,1,124751.0,87538.83098795227,1
2024-05-27,STEAM,1,126414.3,84827.79384394262,1
2024-05-30,STEAM,1,138057.7,82485.41284431721,1
2024-06-01,STEAM,1,144711.1,81086.80912884738,1
2024-06-04,STEAM,1,153027.7,79188.43225968668,1
2024-06-07,STEAM,1,151364.4,77489.41241496973,1
