interval,date_range,n,rel_rmse,bias_pct
1,2023-08-01..2024-07-01,31,0.38428798384228374,-34.26285490509609
2,2024-07-01..2025-01-01,53,0.26878353829637724,-21.791551435924994
3,2025-01-01..2025-07-01,84,0.21722205469271444,-8.732357524051734
4,2025-07-01..2026-01-31,76,0.21262112696930052,-0.1258858702974669
