interval,date_range,n,rel_rmse,bias_pct
1,2023-08-01..2024-07-01,122,0.42400239103934206,-39.054492976646436
2,2024-07-01..2025-01-01,126,0.2414227359526281,-15.994995613135682
3,2025-01-01..2025-07-01,126,0.22566665518003245,-7.770359022252091
4,2025-07-01..2026-01-31,135,0.19588222627690094,-5.404565819461304
