title,restart_idx,obj,D180,lam,k,p,c,tau,stock,rmse,h,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h
PoE,0,56.09752920707302,0.00815833424765383,24.765174609659855,1.0911548501255912,0.06950121115028338,0.2,326.1574345389002,282523.9659571802,0.20829200680361415,2.200000204166404,1.6094379124341003,0.5,0.1,0.5,8.006367567650246,2.2
PoE,1,56.097529207949215,0.00815831165713463,24.765078454072263,1.0911508552401368,0.0695008458138576,0.2,326.1585044824899,282522.53002396895,0.20829200680507742,2.2000018875544467,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
PoE,2,56.10243616391534,0.008059635220763776,24.78112848729962,1.091301230336132,0.06809543903157361,0.2,330.9109438365274,280015.92124394164,0.20829929762004465,2.1937398404709567,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
PoE2,0,66.62173811703553,0.0012933906723048146,29.47703549048528,1.0604373952739525,0.001,0.2,5999.999999999995,0.0,0.3395033470993557,2.1999929208757276,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
PoE2,1,66.62534508314694,0.0011611534744849867,29.532356171458986,1.0630836863209399,0.001,0.2,203.58128804425812,0.0,0.3395125358601734,2.1998395555968346,1.6094379124341003,0.5,0.1,0.5,8.006367567650246,2.2
PoE2,2,66.70242208150874,0.0015764848098589932,28.68755857450104,1.0397622154413602,0.001,1.0,199.99999999999991,0.0,0.33970886578151915,2.199860865321166,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
