title,T,n_events,D1,D7,D30,D180,rmse,base_per_day,stock,lam,k,p,c,tau,h,D180_restart_lo,D180_restart_hi,n_restarts
WarThunder,1383,1,0.9589312817627499,0.8651324255537151,0.6932371922427015,0.31708817476814366,0.10637242710707527,2066.42711448427,339749.6566688443,144.86773426086918,0.6377848370932631,0.0001,0.2000000003525496,2169.8777108514187,2.199999879837351,0.31707321154483153,0.3171832519739796,6
FF14,1383,4,0.9960328877996371,0.9303299138371998,0.5272474705210712,9.747646740424157e-05,0.1593791960665349,4159.719347516668,111519.81483469116,40.394744788070135,1.5,0.0001,0.2,669.4642384340361,2.2000034033315483,9.744108476471785e-05,0.00010932496191885284,6
RimWorld,1383,1,0.9540636757529548,0.8103739993388551,0.5331778753944351,0.14410781314908025,0.14648518671048394,1572.1846351365182,0.0,45.003854155926554,0.7745693703279544,0.10097399121166609,0.9999999975705987,3506.281069297143,2.2000002958554976,0.14410618385066853,0.144506521095136,6
Warframe,1383,7,0.5975732880609801,0.5304020844847701,0.23982090439376047,0.06711989808177761,0.1467285251832836,8638.800942890342,299421.96740627196,25.96093299457222,1.4429279593784208,0.4970650096211453,0.2,458.2450175009031,2.1999996245256543,0.06711962055330228,0.06711989808177761,6
DbD,1383,6,0.3867531236315822,0.1701580737450147,0.06222681535816221,0.015236476882310297,0.17037809712261393,18564.17661946915,0.0,1.2707964948237231,0.3383519596020239,0.055249842668459254,0.2,5999.999999999995,2.200391552854258,0.014900442482612483,0.01612480619835121,6
