variant,D1,D7,D30,D180,lam,k,p,h,rmse,ratio,dau,sec
exp3_W7/14 (baseline),0.4189654394508516,0.2122826587812358,0.09760513225837304,0.03267960018398369,1.4058597428690978,0.30621852672048233,0.021526400057824528,2.1280790836997676,0.1304556762156362,0.44998419874498613,357087.30465585494,30
exp2_W7/14,0.45375801774479224,0.23865481686454343,0.11197671431394973,0.035354568523578,1.9123368128553981,0.3137247241547365,0.020697514793101994,2.150828212774931,0.12657531825881946,0.45171297592527887,358232.93270010373,17
exp5_W7/14,0.37522961066634075,0.18385272874098751,0.08407737892125372,0.030255818917135982,0.9431024731683555,0.29197236879142363,0.021374231220678483,2.102574860780706,0.135918768427145,0.4484014892606579,355998.68440303236,35
rect_W7/14,0.3654211325655543,0.18393567149595108,0.08782237769816907,0.03267320960523581,0.8509432435739301,0.2779696084204324,0.021654199019004707,2.1081568380572877,0.1542945633494309,0.44916623324602606,356444.829488145,25
tri_W7/14,0.38558759781665203,0.19079489577680298,0.08765448831483451,0.031244774710463483,1.0377941591683304,0.29486587154336463,0.021792381135625226,2.112315280453563,0.13710487610118835,0.44898269411417474,356400.210717355,35
gamma_W7/14,0.3883880058392386,0.19983176457029644,0.09587064469930459,0.0335617762285349,1.0796109327830525,0.2825669446693381,0.020106823396739554,2.119219392235843,0.14142516715386652,0.44961176784797524,356801.2628511004,40
delta_W1,0.7557349730228237,0.48897838357089807,0.22651537291977553,0.055038922154595916,12.94799731332905,0.5606101040369453,0.09831831632544835,2.1756378394207934,0.11947817800834407,0.45435590258469744,359841.3101007241,15
exp3_W4/7,0.45305778975383304,0.24556897904147837,0.11994739415308867,0.03798306812143266,1.9752346367681175,0.3010646487418599,0.01846697796537579,2.15987249389464,0.1299477507325023,0.4525574414917445,358772.5843989295,17
exp3_W14/28,0.42099046638966536,0.20651454420331614,0.09088526069469281,0.030464072943165242,1.4062658497545826,0.3190489849184529,0.02224828129830881,2.1211019464456653,0.13073344351384042,0.4495021596502753,356756.6754257666,43
