D1,D7,D30,D180,h,p,dm,collab,wal,story,season
0.42054191242028094,0.21547684067776923,0.1001429074715191,0.03303471812633457,2.256995269865156,0.02293023321608299,0.44828678728312804,833043.7944993512,259139.60903831356,171137.00842222365,158025.3662759375
0.42009952853828936,0.21743494762647014,0.10201199123965829,0.032694461556282556,2.1233441673219873,0.02099396475859302,0.4397105988735407,751865.2207113989,264583.64653509704,173698.7128007053,166961.47914665038
0.41207203595750275,0.20747514081190693,0.09454865929936872,0.03071034496443334,2.2162466798502503,0.0219116158857179,0.4287905594556483,755955.5494642032,265783.2807688081,198208.7267041374,142794.76303849195
0.49541636136770356,0.2688397249057423,0.13090775048237369,0.04404260714243527,2.2216250182593953,0.055197006805600295,0.45373118988081984,589922.2207727944,211950.80509916233,125776.37867015856,137432.25605698698
0.4187339403338259,0.22387769623651696,0.11041706239191343,0.03774656126293309,2.48262627134529,0.02269510953152015,0.45977731694665425,616608.0629318728,197289.55318269145,145164.84550139782,133014.0609575331
0.42756964339299525,0.21740786478119314,0.10061008737150966,0.03563133694309862,2.014713321618006,0.03069837150555385,0.45431574634801475,986777.5253057007,287155.7958977023,191992.12914686603,114154.53500189407
0.416108373633024,0.21985721075281842,0.1070835175476704,0.036803248595406735,1.9903094898914893,0.023150061522573057,0.4690102203208481,865279.5914819617,324690.5496994251,199018.77139819192,154422.96891321105
0.42048930527448486,0.2136234305166994,0.09822519342681588,0.03242505650058787,1.9884380932620638,0.02339119062896229,0.4453867380181987,407532.1051894642,301419.59936051536,236716.32690213653,164804.49791638702
0.4186198117171388,0.2114353697260886,0.09635228600113732,0.031307401458740655,2.1653988893609224,0.022654307401193712,0.43919792361292675,855981.4067199216,241383.48802776035,191395.17482764533,143936.3368657507
0.4539165128415271,0.2365658390581776,0.10985014404163146,0.035378054955448796,2.179425157004405,0.025168079448905895,0.45829322739171946,696019.042460105,257533.60207352287,159827.0357449685,135729.9306048035
0.4826394394819257,0.23743030833390405,0.10499194088110028,0.040421711121447955,2.279618595478528,0.05264679667349313,0.45380952557425497,813242.5268782437,279527.321348885,148482.6583796613,149906.24357832206
0.5600645574595154,0.27939670017482215,0.12092445972335972,0.045585579923951985,2.24771697483646,0.08374596606619684,0.45404664698378655,612867.6243911756,253500.5513601206,189450.10917459844,112417.03964085096
0.5722792905644004,0.3068127717465238,0.13359489370505515,0.03968361492940463,2.037268867927322,0.04466380917282709,0.4533712224413142,570792.6013595301,212563.015130799,145269.39768042756,132252.76330824126
0.41770868400402017,0.2271372161481911,0.11504755102944622,0.04105591819610582,2.2792901449794285,0.02374977936235723,0.4832916952988978,701094.0523539794,192890.272355584,165104.78214259815,116773.67213852459
0.4485710893721123,0.23271198812345895,0.11143891781918143,0.03876420678534119,1.9974487624468902,0.042457931582887916,0.45356570702714166,989536.1911780875,256193.3162667406,231459.86501720487,118156.63453793834
0.43675755970074637,0.21908995692102073,0.09745069642794932,0.030843896223300908,2.25464940976009,0.02308592872597371,0.4359972642939657,759835.1548448814,298126.15065259574,158270.84066462857,125584.8679807963
0.42319195185168323,0.20593230178770905,0.08837823336132286,0.02725625817344586,2.2351539831612244,0.021540593892465442,0.414418265943696,807466.0853669206,311780.9809010674,214222.3550777074,171244.8921311623
0.4651055789236853,0.24076297936914381,0.10888104321413222,0.032247057814771794,2.2640129559532114,0.01948664575343094,0.45878851206855814,796123.9351895397,277165.96177847835,157805.81535654297,120992.64434007404
0.4124872467090677,0.21314930460113085,0.10065741558172622,0.03332811449614863,2.2134374901926406,0.021853756901143367,0.4486575908094577,917529.6992382511,314943.2834491963,124735.46232310236,177730.640794224
0.4230931010905458,0.22241949922271717,0.10684446326690518,0.035705855491550295,2.123082438705087,0.02268189467784528,0.456218900760571,754518.5508557337,278492.53388587,187988.8567937791,144182.27050985995
0.4217643465781953,0.22194099902884218,0.10706243122892942,0.03636201140378219,2.278109762319852,0.023500535741776244,0.4604800326629683,764256.5299405011,220980.48503227407,131040.28801842936,151034.14604924794
0.47797055414044054,0.24066189146376343,0.10943419478481109,0.038989934689058585,2.1091486136194333,0.050361035098979545,0.45042294157529883,878225.7526873928,279067.21326582966,165514.9330494218,145552.09713425033
0.4288135176354763,0.2283913388882557,0.11130536930941519,0.037484819757569635,2.232250015015357,0.0231953612771293,0.46871328672075546,901336.763306257,264293.43385877105,147928.78958891495,158466.8027231324
0.44607337683073894,0.2366949132393944,0.11308163043643696,0.036694934211249766,2.065049071376127,0.027084949688209514,0.45397440941672185,1010725.7493891104,247197.32095465003,155293.72420947294,134359.2170668801
0.4097328028699793,0.22744747742052276,0.1187307285373154,0.043124001188459604,2.3806720285158147,0.021505550910295296,0.49434849233363914,625989.4544205443,225625.9940863626,135221.93294148816,110104.92359276563
0.4226633879853273,0.22029827135142835,0.10443381907165408,0.034223929366504174,2.2991336070409636,0.021886859023360253,0.45461321613796707,672375.6077108787,261258.89403455,187812.98459602738,129073.65593006361
0.4280253659587868,0.21949172039999948,0.10193243782280756,0.03424925892304166,2.0721813623866603,0.024937599385443685,0.4591306320460693,926682.5834793393,265051.35893594206,192928.457460703,151376.49061671997
0.4156023992666827,0.20515013894120693,0.09080923246192826,0.02930582067822819,2.3852076319560225,0.022380720617927848,0.4219155035162733,722656.6238536582,264781.5830324467,169545.64603533727,132190.80990517244
