beta,D1,D7,D30,D180,rmse,h,lam,k,p,c,tau,f_share_proxy,total_act_M,ratio,n_restarts,obj_restart_lo,obj_restart_hi,obj_rel_spread,D180_restart_lo,D180_restart_hi
0.2,0.43459836927345863,0.24679071476437311,0.12967079267385936,0.04357208382262138,0.12705015789110888,2.1446216620964043,1.8148789636995495,0.27069984780965284,0.013286270801228964,1.0,5999.999999999995,0.08202232154913709,9.478778494714629,0.4532342242382051,3,19.818939210486327,19.822508988209464,0.0001801195152386096,0.04357208382262138,0.04366326001555141
0.225,0.46690216554381747,0.2675196792560579,0.1398676842848535,0.046619770229261996,0.12732218762241168,2.140872275984445,2.416296616683764,0.28924685129248295,0.02372273944875048,0.717821198462258,5999.999999999995,0.09106066673282606,8.747784775465819,0.453208874439235,3,19.915285536024957,19.915321516349533,1.8066687776412253e-06,0.04654701268202949,0.046619770229261996
0.25,0.5171422047948859,0.30015244490201065,0.1549454751324288,0.05071502098151865,0.1276234851338277,2.136195807165053,3.560043324900343,0.3221149696735995,0.040858503086151535,0.5761951545024587,5999.999999999995,0.09976771399772029,7.847886084401284,0.45312497998699097,3,20.025727273400317,20.028508845978596,0.00013889995306055162,0.05049625304173959,0.05071502098151865
0.275,0.587690776679056,0.3500570253533744,0.17767884483903057,0.056262846452508015,0.12793475670078736,2.1312720714666598,5.701231300209278,0.3746504191556463,0.06584400057022792,0.49868392723662824,5999.999999999995,0.1081542911380584,6.8184990446227,0.4530649672627415,3,20.14150752650874,20.141552266233806,2.2212699326075776e-06,0.05619333258317699,0.056262846452508015
0.3,0.6983199560166039,0.44593651312641186,0.22271999598806197,0.06547554889500305,0.12818377847089626,2.1254601889902887,10.935255112043636,0.4836613865054348,0.10998102147064293,0.4405125631975032,5999.999999999995,0.11614447210476435,5.494723063235098,0.453023481458382,3,20.243375084321897,20.25347912417372,0.0004991282239119747,0.06419325136199003,0.06547554889500305
0.325,0.7827436843377018,0.5542013754797743,0.281462085570422,0.07523877362376677,0.12831241643903823,2.1191568444271103,18.527116171096374,0.629120902728284,0.15736636765448875,0.40830815672689935,5999.999999999995,0.12414290196927047,4.495439854661499,0.45291992530036285,3,20.313368784346356,20.435137096896085,0.005994491304837884,0.06476090276218135,0.07523877362376677
0.35,0.813042192634312,0.6175917594353579,0.32390076738372015,0.0811420133106168,0.12845310571313762,2.1136487769768113,24.04299730664681,0.7372033373840385,0.1859078145322003,0.39495544581073416,5999.999999999995,0.13226248170034352,4.028395459583578,0.45278453036532307,3,20.385895124497843,20.804414441608234,0.020529847453568725,0.06633111838449725,0.0811420133106168
