beta,D1,D30,D180,f_share,total_act_M,h,rmse,ratio
0.0,0.4189654394508516,0.09760513225837304,0.03267960018398369,0.0,11.918063010399425,2.1280790836997676,0.1304556762156362,0.44998419874498613
0.05,0.42895895453685823,0.10612912520823937,0.03520925896023585,0.053692754705160266,11.12148302277132,2.1367047335576803,0.12855470275955286,0.4510556022539577
0.1,0.4340958197686862,0.11406422048453843,0.037775413084528864,0.10116005296134443,10.486891746366242,2.141826707138843,0.1273430681374589,0.4519352792984961
0.2,0.43459771095485394,0.12967059996490052,0.04357204089486002,0.18207628380534352,9.478799729661002,2.144619341144024,0.1270501394127163,0.4532342621552119
0.3,0.6983224982948477,0.22272347869527698,0.06547626589000226,0.25398731925392487,5.494676475360193,2.125459048204428,0.12818375807236862,0.45302334953196044
0.5,0.7673206050676732,0.3519399971465982,0.09790475119228344,0.3577401328805529,4.077786948785145,2.081236912285565,0.13401401407839844,0.45255109611455646
