title,restart_idx,obj,D180,lam,k,p,c,tau,stock
WarThunder,0,14.648762751972036,0.1158950581931857,30.000000000000004,0.4286846019819781,0.001,0.2,2285.3767525257613,338545.74249069294
WarThunder,1,14.648994832428693,0.11620709537668039,30.000000000000004,0.42810558793497977,0.001,0.2575223267635427,2278.2933897987637,339570.53607735096
WarThunder,2,14.945128718736148,0.14877645502881912,0.24407319973680952,1.0046634198024977,0.20648132761665905,0.7424757211683544,5999.999999999995,638517.0224795607
FF14,0,32.931476362383776,0.0016545596109670095,30.000000000000004,1.0445210105287663,0.001,0.2,625.2377432750664,112418.2901702704
FF14,1,32.931476375272844,0.0016551026551226361,30.000000000000004,1.0444897408221308,0.001,0.2,625.167742622091,112418.32156018152
FF14,2,32.931791940265015,0.0017656814383228345,30.000000000000004,1.0383573618343727,0.001,0.2,622.5550570098688,112485.50061709194
RimWorld,0,27.748124464062393,0.10250570627377409,30.000000000000004,0.6755646979553455,0.07351363420481939,0.9945909766857877,4365.260667189853,0.0
RimWorld,1,27.748124508181785,0.10254334493988286,30.000000000000004,0.6756179321664841,0.07315657566128086,0.9999983929690799,4360.2904861466495,0.0
RimWorld,2,27.748129207906658,0.10213450003738266,30.000000000000004,0.675572314614977,0.07684356385966695,0.9480496744837665,4365.735423738301,0.0
Warframe,0,27.893861724000413,0.06169311269706109,21.753350736398147,1.1560599233366746,0.4,0.21355340248463914,552.9584976413649,302260.6055933178
Warframe,1,27.893861724027484,0.06169350989923185,21.7533729339349,1.1560636446265797,0.4,0.21355454149502345,552.9603881014679,302261.52415569185
Warframe,2,27.896586886631134,0.057795327841766275,20.642032408862825,1.104913016480403,0.4,0.2,553.3319643473268,299782.81545980205
DbD,0,37.534080630556794,0.0152846477162898,1.2898381486273083,0.3392938593909731,0.05545575869364061,0.2,5999.999999999995,0.0
DbD,1,37.53445570368394,0.015350835604740848,1.3066933570605652,0.339974988317446,0.055671405547120245,0.2,5999.050119883599,0.0
DbD,2,37.53827846508253,0.015208919695166079,1.2527778582922595,0.3378708115964688,0.045409199589941704,0.24301774784525526,5979.7508119172735,0.0
