title,restart_idx,obj,D180,lam,k,p,c,tau,stock,rmse,h
WarThunder,0,14.63041557050486,0.3170881747681436,144.86773426086918,0.6377848370932631,0.0001,0.2000000003525496,2169.8777108514187,339749.6566688443,0.10637242710707527,2.2
WarThunder,1,14.63041557067756,0.3170732115448315,144.85767928857118,0.6377701982461289,0.0001,0.2,2169.883464466461,339749.4545686723,0.10637242710742799,2.2
WarThunder,2,14.63041557104251,0.3171168013373257,144.88703078487606,0.6378140506625043,0.0001,0.2,2169.769079594255,339743.1208004992,0.10637242710898122,2.2
WarThunder,3,14.630415571613456,0.3171119871011771,144.88323552263262,0.6377979829102521,0.0001,0.2,2170.067951408532,339769.8313121918,0.10637242710948491,2.2
WarThunder,4,14.630415651478238,0.3171074888763314,144.87996393876787,0.6377891567608982,0.0001,0.200536936710292,2169.393724743251,339734.0471080317,0.10637242739547952,2.2
WarThunder,5,14.630415880135825,0.3171832519739796,144.92566392999197,0.6377567132852988,0.0001,0.2000042142914568,2167.187596484748,339690.0470844981,0.10637242760237332,2.2
FF14,0,32.84443448377731,9.747646740424156e-05,40.394744788070135,1.5,0.0001,0.2,669.4642384340361,111519.81483469116,0.1593791960665349,2.2
FF14,1,32.844434521761244,9.745427770587128e-05,40.39398828446016,1.5,0.0001,0.2,669.3870761445345,111519.82908499704,0.15937919610740786,2.2
FF14,2,32.84443452431883,9.744108476471785e-05,40.3935227377097,1.5,0.0001,0.2000000307879524,669.4141471876721,111520.28709874782,0.15937919611023302,2.2
FF14,3,32.84443454046626,9.751351829045058e-05,40.39603956054194,1.5,0.0001,0.2000000313132182,669.4430901680172,111522.06033068112,0.15937919609230247,2.2
FF14,4,32.84443859645023,9.756990157294494e-05,40.3919285172614,1.4998510491069652,0.0001,0.2,669.8163649243359,111524.06516751178,0.15937920587733756,2.2
FF14,5,32.84472948635373,0.0001093249619188,40.35132392077635,1.4959615420432666,0.0001000000201916,0.3094626069809939,669.1520253712745,111556.0009238059,0.15937991176710495,2.2
RimWorld,0,27.745077533809887,0.1441078131490802,45.00385415592656,0.7745693703279544,0.100973991211666,0.9999999975705988,3506.281069297143,0.0,0.14648518671048397,2.2
RimWorld,1,27.74507753382955,0.1441136577703703,45.00495194275881,0.7745762604041889,0.1009791223890853,0.99999999919557,3506.2295614488,0.0,0.14648518671053976,2.2
RimWorld,2,27.74507753389856,0.1441061838506685,45.003248991381696,0.7745629477942249,0.1009723966698166,1.0,3506.2903531093243,0.0,0.14648518671071314,2.2
RimWorld,3,27.74507753857541,0.144124167783796,45.0112625648986,0.7746005599321968,0.1009794755196639,0.9999999896783652,3505.965340963181,0.0,0.14648518671849411,2.2
RimWorld,4,27.7450775437304,0.1441934136195171,45.0215465792602,0.7746813379906934,0.1010471376544956,0.999999709229998,3505.578114107127,0.0,0.14648518673467117,2.2
RimWorld,5,27.74507783291069,0.144506521095136,45.10778800482994,0.7750960840728942,0.1012613138604981,0.9999601144142352,3503.254825699099,0.0,0.14648518749907,2.2
Warframe,0,27.837333312486223,0.0671198980817776,25.96093299457222,1.4429279593784208,0.4970650096211453,0.2,458.2450175009031,299421.967406272,0.1467285251832836,2.2
Warframe,1,27.837333312491385,0.0671197490790881,25.960777923835547,1.442923303864526,0.4970652229650191,0.2,458.2419270013873,299421.69613857474,0.14672852518330645,2.2
Warframe,2,27.83733331249152,0.0671196205533022,25.960819793175546,1.442920998341149,0.4970639816856972,0.2,458.2426062778052,299421.33351686253,0.1467285251832658,2.2
Warframe,3,27.837333312496103,0.0671198102009766,25.960856119917093,1.4429277548412172,0.4970656406508495,0.2,458.2420091036323,299421.5251540743,0.146728525183278,2.2
Warframe,4,27.837333312497424,0.0671196712070665,25.960961650352893,1.44293129113698,0.4970654121415454,0.2,458.2401296103002,299420.63060934795,0.14672852518330773,2.2
Warframe,5,27.83733331255388,0.0671198847904001,25.96113013800863,1.442939579216521,0.4970656875983402,0.2,458.2431954249619,299421.1042412901,0.14672852518346752,2.2
DbD,0,37.5341077338468,0.0152364768823102,1.2707964948237231,0.3383519596020239,0.0552498426684592,0.2,5999.999999999995,0.0,0.17037809712261393,2.2
DbD,1,37.53438589509148,0.0152479057957653,1.280245093965409,0.3388646958526506,0.0553145420529298,0.2,5998.006836453631,0.0,0.17037869987554105,2.2
DbD,2,37.53560209859804,0.0149004424826124,1.1918426086905864,0.3352433034288705,0.048329824682287,0.2238880088004133,5999.999999999995,0.0,0.1703810972750022,2.2
DbD,3,37.53718424791141,0.0161248061983512,1.4467473053998263,0.3454834748096401,0.0587145265721251,0.2,5999.999999999995,0.0,0.1703827711108412,2.2
DbD,4,37.53990561259252,0.0153784903878885,1.199535564915866,0.3359024434798857,0.0111649759203673,1.0,5999.999999999995,0.0,0.17039126336345262,2.2
DbD,5,37.54169674892259,0.0151322962668967,1.286790943096728,0.341092334962049,0.0369579602107501,0.2999396118403018,5972.893174064462,0.0,0.1703941909764542,2.2
