title,restart_idx,obj,D180,lam,k,p,c,tau,stock,rmse,h,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h
PoE,0,54.407762039581876,0.009270952012029618,27.42755890572668,1.230675216288859,0.3809042948006204,0.05,249.10110737745444,342438.65429357387,0.20513093933725446,2.199998041454582,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2
PoE,1,54.40776203999569,0.00927095981383534,27.42751128398677,1.230673868401535,0.3809059005156288,0.05,249.0999437072065,342440.397863779,0.2051309393370244,2.1999949731329993,3.2188758248682006,2.0,0.5,0.15,9.210340371976184,2.2
PoE,2,54.407762040050294,0.009270910032861271,27.427432074424406,1.2306700747173247,0.3809014267988282,0.05,249.10209647337282,342436.5954742423,0.20513093933716703,2.2000049423439454,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2
PoE,3,54.407762041131704,0.009270965045416982,27.42743234855607,1.2306692545702704,0.38090712932427917,0.05,249.0989805525967,342440.228012576,0.2051309393403374,2.1999993584858553,3.8066624897703196,2.5,0.3,0.1,9.615805480084347,2.2
PoE,4,54.40776204276706,0.009270797604197755,27.427355331803852,1.2306659509205649,0.38089148373527465,0.05,249.10684875358282,342432.32618511654,0.2051309393428644,2.2000034936550774,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
PoE,5,54.40776214565564,0.009270541932594936,27.42648718073206,1.2306049080345973,0.3808796528185053,0.05,249.10729804670152,342429.6714321437,0.20513093953155317,2.199988864010792,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
PoE,6,54.40776225880883,0.00927057888988393,27.42760174906075,1.2306482194352188,0.38089138841427916,0.05,249.09836563663285,342448.4881133582,0.20513093967581555,2.1999601368267,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2
PoE2,0,66.61140872543899,0.001152573070387905,29.48647307848894,1.0611579177131163,0.0012253065196174322,0.05,19999.93622096067,0.0,0.3394770268720374,2.200002345243951,3.8066624897703196,2.5,0.3,0.1,9.615805480084347,2.2
PoE2,1,66.6114088172898,0.0011538977902330878,29.485934910273887,1.0611429634595968,0.0012514628011707032,0.05,19999.996660909837,0.0,0.339477027092212,2.1999850547588924,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2
PoE2,2,66.61156027396262,0.0010948173892244965,29.490480169351102,1.0614771117485726,0.0001,0.050000042001029144,19999.932990253885,0.0,0.33947741304504087,2.200004903868863,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2
PoE2,3,66.611635283669,0.00109728851174754,29.486332170027303,1.0613479390309686,0.0001,0.06860427057829174,19999.824801273116,0.0,0.33947760418497314,2.200002164802007,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2
PoE2,4,66.61165403941305,0.0010972745820849808,29.490546740321086,1.061467479242765,0.0001,0.07330818686448329,19968.56340352772,0.0,0.33947765197676805,2.1999949650074306,3.2188758248682006,2.0,0.5,0.15,9.210340371976184,2.2
PoE2,5,66.6117509314875,0.0010912317344412457,29.491732237613732,1.061551369751309,0.0001,0.05000019927578825,200.01115793494333,0.0,0.33947789887444463,2.1999933803617866,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2
PoE2,6,66.61181429506371,0.0010917209786882964,29.490253326080662,1.06151011149529,0.0001,0.058125204802547945,199.99999999999991,0.0,0.3394780602901148,2.1999722411361127,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2
