title,copies_per_day,model_inflow_per_day,ratio
PoE,32040.017130144086,3255.039486028457,0.10159293838098578
FF14,572.9383759732359,5182.040351763679,9.044673160461766
Warframe,4625.356618463895,8430.818353238279,1.822739098555864
WarThunder,5071.886985538338,5012.785703366227,0.9883472793576377
DbD,8567.224471634943,18391.457830757558,2.1467230013231795
RimWorld,716.5940886698211,2034.0070019603572,2.83843675815968
