title,n_events,lam,k,p,c,tau,corr_stock_base_raw,R2_stock_on_others_raw_uncentered_nointercept,R2_stock_on_others_weighted_uncentered_nointercept,cond_full_raw,cond_without_stock_raw,ols_stock_coef_weighted,ols_stock_negative,ols_stock_coef_tau_up5pct,ols_stock_coef_tau_down5pct,sign_flip_tau_up5pct,sign_flip_tau_down5pct
WarThunder,1,144.7522156372345,0.6376609459619158,0.0001,0.05,2170.1100627997703,-0.9400239867665149,0.9916923560742368,0.9915554652896522,22.563906658501153,1.8261263973482709,339676.70332890435,False,345744.55772886716,333638.8277071449,False,False
FF14,4,41.13775852737598,1.550492318362542,0.0001,0.05,673.2880084795547,-0.35293162261772226,0.8209896869106906,0.79786505069398,4.8410709131237875,1.5382254930527934,109885.72403074731,False,110421.31036754977,109508.57543029648,False,False
RimWorld,1,45.00363632595364,0.7745666148343562,0.1009743146786919,1.0,3506.297683562421,-0.9987264361575502,0.9790905904833059,0.9799410216201319,14.515190666569174,3.336429427041803,-774.2692114356905,True,1074.4413410574198,-2805.4963597812457,True,False
Warframe,7,24.98522344121662,1.3255599374880895,0.6,0.1058129038216848,562.3533491905381,-0.9999999857925346,0.9999708535308001,0.9999588150654521,491.85634783870603,4.557207581455831,2171930.9566955306,False,2214376.4254313298,2125554.280630421,False,False
DbD,6,1.5200633506619023,0.3473304066708798,0.1875040267009796,0.05,19999.99999999998,-0.9990085531628197,0.9921062100977703,0.9920556204815282,26.960251236906817,5.88646151487777,-49734.954922823235,True,-49088.8615297433,-50447.26217082143,False,False
