stage,n_anchors,anchors,lam,k_param,p,c,tau,h,base,D1,D7,D30,D180,rmse,obj_best,n_bounds_stuck,bounds_stuck_detail,n_restarts,obj_restart_lo,obj_restart_hi,D180_restart_lo,D180_restart_hi,D180_boot_median,D180_ci90_lo,D180_ci90_hi,D180_ci90_width,tau_boot_p5,tau_bound_lo,tau_bound_hi,tau_boot_at_lower_bound,base_boot_p5,base_boot_p95,base_degenerate,n_boot,block,fit_time_s
1,1,24-10,6.581520340454168,0.4597752646518597,0.039896758380661,1.0,5999.999999999995,2.017457022451148,0.0,0.6704149758739131,0.3830431774643805,0.1685184575793293,0.0485834584340591,0.1399567321815925,25.059391409642483,2,c@upper;log(tau)@upper,5,25.059391409642483,25.059400041808686,0.0485829542631198,0.0485838345287676,0.0533594258883637,0.0467306024000117,0.0619269127843288,0.015196310384317,625.297122346131,199.99999999999991,5999.999999999995,False,0.0,78.32760235896595,True,100,14,930.0924575328828
2,2,"24-10,25-01",5.046321530778339,0.475880380495939,0.0394356956234736,1.0,5999.999999999995,2.012925776247525,0.0,0.6440740228322833,0.337960718811265,0.1321746314718475,0.042278773760404,0.1399701658671114,26.7896368074022,2,c@upper;log(tau)@upper,5,26.7896368074022,26.805906393277333,0.0422777006087914,0.0422791981565811,0.0454988230953674,0.0412249994587741,0.0511980488193572,0.009973049360583,1002.8945198650712,199.99999999999991,5999.999999999995,False,0.0,195.07148323538595,True,100,14,824.0318298339844
3,3,"24-10,25-01,25-05",1.9563391876529157,0.3489282919178029,0.0299724787212109,1.0,5999.999999999995,1.872070057669652,0.0,0.4696649415159959,0.2337307101747917,0.102413866858692,0.036723446375799,0.13937557891102,29.445229104817567,2,c@upper;log(tau)@upper,5,29.445229104817567,29.446209826055107,0.036709896513671,0.036739235347063,0.0402754265084783,0.0361293192004192,0.0480523921480155,0.0119230729475962,444.0043738948391,199.99999999999991,5999.999999999995,False,0.0,0.0,True,100,14,825.5216176509857
4,4,"24-10,25-01,25-05,25-10",1.402588506223728,1.5,0.1654793191353796,1.0,199.99999999999991,1.8037171164407395,0.0,0.621728444835961,0.1597997304639672,0.1424293699132089,0.0672788704749772,0.1502920415098639,33.48449649829356,3,k@upper;c@upper;log(tau)@lower,5,33.48449649829356,34.66783201229293,0.0641028837708643,0.0672788704749772,0.0709049383383159,0.0638426462846409,0.077505499329309,0.0136628530446681,199.99999999999991,199.99999999999991,5999.999999999995,True,0.0,0.0,True,100,14,665.5740494728088
5,5,"24-10,25-01,25-05,25-10,26-01",1.32574713620022,1.5,0.16524523395793111,1.0,199.99999999999991,1.8271300051517434,0.0,0.5979835632677325,0.15956618463131875,0.14222789093381613,0.06718369854403172,0.15185763184382886,34.35168798198701,3,k@upper;c@upper;log(tau)@lower,5,34.35168798198701,35.12639878353519,0.06355471070889282,0.06977750256906927,0.06431320267735785,0.05976275952445701,0.07015420295114423,0.01039144342668722,199.99999999999991,199.99999999999991,5999.999999999995,True,0.0,0.0,True,100,14,856.9042503833771
