stage,anchors,tau_bound_lo_relaxed,tau_bound_hi_relaxed,k_bound_hi_relaxed,lam,k_param,p,c,tau,h,D1,D7,D30,D180,rmse,obj_best,n_bounds_stuck,bounds_stuck_detail,obj_restart_lo,obj_restart_hi,D180_restart_lo,D180_restart_hi,fit_time_s
3,"24-10,25-01,25-05",30.000000000000004,5999.999999999995,3.0,1.9563441364057828,0.3489289221797517,0.029972456372772877,1.0,5999.999999999995,1.8720708453635457,0.46966538352705783,0.23373071772029247,0.10241368858222599,0.0367233520825294,0.13937558179481704,29.44522910502747,2,c@upper;log(tau)@upper,29.44522910502747,29.450051574352557,0.036723342368842754,0.03673140793725259,823.9351999759674
4,"24-10,25-01,25-05,25-10",30.000000000000004,5999.999999999995,3.0,1.4929696090708102,3.0,0.23974246761923734,1.0,131.58892012358973,1.807797244837385,0.8008575434437141,0.22732241212198115,0.19086809265747992,0.06104852089544666,0.14450356696274733,31.99702605379144,2,k@upper;c@upper,31.99702605379144,33.75596038757271,0.05428117029897121,0.061320667417750614,735.4350824356079
5,"24-10,25-01,25-05,25-10,26-01",30.000000000000004,5999.999999999995,3.0,1.4265951427752315,3.0,0.2337292046474256,1.0,133.8729044782868,1.831178818937903,0.7749891754206224,0.22182189829910698,0.1868058900456673,0.06092260809225159,0.1461080689485543,32.916946474596486,2,k@upper;c@upper,32.916946474596486,34.96753631067015,0.06092066920047683,0.06441066282712211,537.77126121521
