stage,condition,collab_window,anchor_2510_month,anchors,lam,k_param,p,c,tau,h,D1,D7,D30,D180,rmse,obj_best,n_bounds_stuck,bounds_stuck_detail,tau_regime,obj_restart_lo,obj_restart_hi,D180_restart_lo,D180_restart_hi,fit_time_s
4,i_collab28,28,2025-10,"24-10,25-01,25-05,25-10",1.4037696047106647,1.5,0.16543692103579113,1.0,199.99999999999991,1.8038300358553552,0.6220568311547492,0.15975896131202338,0.14239287753070784,0.06726163269405394,0.15029983399274494,33.483452592143834,3,k@upper;c@upper;log(tau)@lower,lower,33.483452592143834,33.585701750514275,0.06587057532171121,0.06726203674437137,669.7899372577667
4,ii_novmask,14,2025-11,"24-10,25-01,25-05,25-10(Nov-mask)",1.364544751708358,0.2849189452615005,0.023240582471073294,1.0,5999.999999999995,1.7674150079871067,0.4143475650613427,0.22172435278890384,0.11066665119344991,0.04010840798712026,0.1402612215233638,31.699830154920704,2,c@upper;log(tau)@upper,upper,31.699830154920704,32.38252891687249,0.04010840798712026,0.051126977351375516,587.1825747489929
4,iii_both,28,2025-11,"24-10,25-01,25-05,25-10(Nov-mask)",1.3558949363184831,0.284416425331272,0.023212984552070798,1.0,5999.999999999995,1.767187416772566,0.4136276021699743,0.22139028961479307,0.11058768452619863,0.040127653079799125,0.14027849767018344,31.7309079254024,2,c@upper;log(tau)@upper,upper,31.7309079254024,32.11337059144286,0.04010799434456731,0.045894562658296056,546.6218900680542
5,i_collab28,28,2025-10,"24-10,25-01,25-05,25-10,26-01",1.3267523424531582,1.5,0.16522315575638885,1.0,199.99999999999991,1.827191176383877,0.5982959177842816,0.15954492827115307,0.14220888804964357,0.06717472221714299,0.1518649391548759,34.350611752341756,3,k@upper;c@upper;log(tau)@lower,lower,34.350611752341756,34.63726660317156,0.06379380457847285,0.06779589415360651,413.01473355293274
5,ii_novmask,14,2025-11,"24-10,25-01,25-05,25-10(Nov-mask),26-01",0.5764813066341566,0.5390713575104715,0.11141642055524356,1.0,199.99999999999991,1.7665207597766326,0.34220603460035365,0.1266509675916839,0.0960931798160997,0.045298536415380085,0.14962210600854836,35.455832695069255,2,c@upper;log(tau)@lower,lower,35.455832695069255,37.5587144281047,0.038655638976368846,0.045298536415380085,642.3791468143463
5,iii_both,28,2025-11,"24-10,25-01,25-05,25-10(Nov-mask),26-01",0.5770805014516811,0.5413639745358236,0.11144389863435189,1.0,199.99999999999991,1.7661372480822,0.342008202447145,0.12630160849884126,0.0961032248660676,0.045309708114652396,0.14964995556975383,35.47574418980111,2,c@upper;log(tau)@lower,lower,35.47574418980111,36.70421129549631,0.03707945519228901,0.04544541334286408,337.38247418403625
