D1,D7,D30,D180,lam,k,p,c,tau,h,base,rmse
0.5558150174581371,0.2620808052262797,0.09738831136759882,0.036499003592763465,3.011563828193438,0.43821266558936556,0.03515722518863852,1.0,5999.664946624034,2.006450507831479,0.0,0.1324045828804212
0.5607209368022108,0.32265624710219953,0.15707647692929208,0.039845140717435494,4.588756021125962,0.3483365551666602,0.013766522037488158,0.9464339345703006,5760.683227836556,1.975637731700366,0.0,0.13514263438515656
0.5310431871802097,0.25548407714602916,0.10123961292633829,0.03795515507266882,2.699399790449188,0.40961914964757284,0.03542639790493683,0.9990239126626757,5967.21692841926,1.9968382836789549,0.0,0.1270114949991216
0.5592260475342099,0.26420353899687565,0.10363235759521236,0.044564618697450514,2.9070879004520593,0.45107760361059945,0.05805730493106186,0.8873702701914705,1001.9239361197472,1.9837016322218046,0.0,0.1376644099064714
0.5688483191402617,0.2882397743380738,0.11713609742606104,0.038420479954074584,3.5011490275114205,0.4199773495272472,0.03745069070134849,0.9539000102549444,2533.3354323978624,1.9649706059817706,5.645597014945262,0.12172514500181382
0.529076676221782,0.3031466149314495,0.15181542668303274,0.04390050390041671,3.6359865889383025,0.32841269330456013,0.019507475664581685,1.0,1406.132178928137,1.9590290896763696,0.0,0.12906619429659522
0.4952695811124826,0.24569147789266463,0.11890186549602728,0.04776772031340249,1.767140974038356,0.393652912895903,0.08333700848043302,1.0,301.30575170900386,1.9269889502780568,0.0,0.1320084270604993
0.5082903541659766,0.2341913767836099,0.08997115230021624,0.036137183202281827,2.2975390998430565,0.4083703086941106,0.034608280704107305,0.9999970169330714,5996.6158874663015,1.9606491023147286,0.0,0.13336861074164055
0.497597774981064,0.2389261692812391,0.09846897527390311,0.03844353074772563,2.2219454410575024,0.3847538836908173,0.03523092986418924,1.0,5997.723193341727,1.9133203030924752,0.0,0.1318479832442948
0.4828452750846245,0.28840089227912563,0.15634635274270745,0.047887242019668826,3.1790502842701565,0.2754828304378939,0.0015405177478708888,0.2,227.651389421947,1.9354467994110336,0.0,0.12957086459261558
0.5176800513207492,0.31035216634354823,0.16553059239137494,0.04714570434446229,4.107458626847141,0.2957562234094732,0.001,0.5542656871331831,221.49467663816296,2.002295308519132,0.0,0.13912437449284512
0.4697528435391411,0.2750760070761677,0.14582533314283833,0.04319248071656164,2.7518807765849407,0.2754743724464629,0.001,0.9850961751685099,5959.114126767818,1.8929498664040016,0.0,0.1356068343082447
0.5532053943798542,0.3296857998320165,0.16944548219893865,0.042233531665025935,5.079431227604929,0.32321249878247615,0.001,0.2,5628.98889711505,1.9639341183137544,0.0,0.13512741195934763
0.5286540725094121,0.26271779775993365,0.10790984601402495,0.03618572786704134,2.8077759791711716,0.39282177143346586,0.03144588839599853,0.9972722257945352,5999.934917642894,1.9621792515552208,0.0,0.14018530674226062
0.45750107985742783,0.2201095127037446,0.09439557383265464,0.03713746074525803,1.7322608591341648,0.35474010623030744,0.032729442229380346,1.0,5999.999999999995,1.9421665653516047,0.0,0.13007232228454588
0.6109614115206478,0.3180844777597923,0.12772073659771854,0.04183487093010199,4.475612070320917,0.45261393121808874,0.04950514290278519,0.7829408522738447,4382.121742089211,1.9688204062584267,0.0,0.137744787880756
0.5035607396857813,0.29870980257189933,0.1582237458060248,0.04518701977601661,3.6173110798217563,0.2912631863007994,0.0016170749446075272,1.0,500.3685489029307,1.9700238228868954,0.0,0.12991178568964717
0.47976673343783205,0.23450653870729152,0.10137276278275406,0.04022967044802317,1.9977197442876395,0.3657742687872846,0.03649711842978369,1.0,3897.3404454036972,1.9553061381697834,0.0,0.12002718600243009
0.5286647356405427,0.2524431842413812,0.09954839546861563,0.0382434695211603,2.6382159593638446,0.41105062699149686,0.03610117401958532,0.9972742867620932,5960.01208882638,1.9679500399605137,0.0,0.12520921375787605
0.48220522745039446,0.23121115037483025,0.09616648530998115,0.03696688492996567,2.03515816888167,0.3732435609753275,0.03327961683256342,1.0,5876.903647507034,1.9681703445598684,0.0,0.12579518293117709
0.44107199454266954,0.2596345385699827,0.14189218455464045,0.04774519152650671,2.101221143178789,0.2581546320755371,0.005491695145594531,1.0,5995.524926653753,1.889335636062916,0.0,0.13788475252092255
0.4534971193666956,0.2681346572524705,0.14576986151643934,0.046422098217216524,2.432714754151029,0.2621659953230071,0.0011082173157660703,0.9988641683992858,1697.1073627066141,1.8418035591769062,0.0,0.1317544501959866
0.5282956636123265,0.2467398858800577,0.09465186701682705,0.03787196723452821,2.5739973464087615,0.4197509688937835,0.03643253155552939,1.0,5987.537478741051,1.980007275488969,0.0,0.13325743822797165
0.5019342405433624,0.23827641847148986,0.0965128222795929,0.038509982819959314,2.2520157285140847,0.3927389983305192,0.03596592254487163,0.9999859259147341,5999.988357240662,1.994784442055142,0.0,0.12429334851062633
0.4449783941887879,0.25787403643187784,0.1365804476311147,0.04129023487999049,2.203636698386352,0.26501453607033665,0.001079959083372409,1.0,5999.999999999995,1.8294150584781175,0.0,0.1357708072878661
0.5011665323828556,0.29829673033299,0.1591066062562288,0.04645553666469702,3.591630532045839,0.2881568424579397,0.001,1.0,5462.78623507813,1.9333056535753155,0.0,0.1304024051885477
0.4956884596849329,0.295839193775408,0.1589468940053657,0.04704837920397908,3.4788202737330147,0.2836064193875012,0.0012618160362401817,0.6436617684438612,199.99999999999991,1.9181192505547493,0.0,0.1326841338710527
0.4958555983025599,0.2497993238980418,0.11242815585402592,0.04368609406511519,2.1807885371102467,0.36869909683899804,0.044733223417138396,1.0,1068.883205672143,1.9738315186034407,0.0,0.1296396044148398
0.4607790098163253,0.26236181213188187,0.13676195254765341,0.04583392226915277,2.225258735906267,0.28616976978116415,0.01712340676898278,0.9994791084361097,5999.999999999995,1.9248552485357253,0.0,0.12673790561312778
0.5700453048591844,0.2642756924729836,0.09555066383302241,0.03836303843061886,3.107615489648857,0.4598040606361864,0.039737181674126626,1.0,2401.643231915213,1.9803058423328093,0.0,0.13072300631181247
0.5095794700188837,0.2508956967040552,0.10547681627680403,0.03963458220062169,2.4396021010892093,0.3838125890274824,0.03542027988030326,1.0,5997.835497000318,1.9364727750453312,0.0,0.12574471548098862
0.4631585125760434,0.2758357027427934,0.15080300869791616,0.04833795100979441,2.672434095795282,0.2649427811844929,0.0013790222377246851,0.8084199738139706,5959.155042300197,1.9385941834100704,0.0,0.13507309083691993
0.5126433797116215,0.26254433326247073,0.11563760934883704,0.04061252077191204,2.616550400307391,0.3705992132197963,0.036829910937695595,0.9347881481997431,3422.0168852890074,1.9133932383399768,0.0,0.13798892540620566
0.5320929669080514,0.2653878235625414,0.10957156905838927,0.037384849233672184,2.8573687376799266,0.3946262077469773,0.03286590093571418,0.992787258015203,5961.693378640946,1.9913837596445012,0.0,0.13401642885501416
0.5330385572974538,0.25490445216862767,0.09814859078899307,0.03377632090987205,2.7742566827710946,0.4119873719510885,0.03183264770025826,0.9750458836314482,5999.999999999995,1.9482094212539183,0.0,0.13986663080330464
0.4882437775658144,0.22487064570374538,0.08858569525922239,0.03532328548915402,2.039819996388133,0.3934518706747099,0.03479037048649826,1.0,2622.070316169644,1.938122590931156,0.0,0.1266175598103953
0.5331521111254495,0.2496598557046132,0.0973183525337266,0.039292723779429474,2.5814374809588108,0.425224213366697,0.04210563970492069,1.0,1422.0897925861175,1.9703019473356571,0.0,0.12906614987308707
0.5386075036742248,0.32334855819345604,0.17049120109319238,0.04663849075756291,4.6942179126209975,0.3093410063540232,0.0012209505125223394,0.997200137854542,5085.365618306678,1.9439879872170907,0.0,0.13141027733605798
0.4961067263869901,0.29646818624486915,0.1596793625304394,0.04782775619558984,3.4876087810422813,0.2832591245861502,0.001,1.0,799.0044953194462,1.870281455983214,0.0,0.13218750013100541
0.5285889994761325,0.2516704267061944,0.09819820798337256,0.03664066561185742,2.6499178568142234,0.411329567810226,0.03432796885241102,1.0,5983.624621428418,1.9589759338530168,0.0,0.1191763032779474
0.4870645162556153,0.25226841166552144,0.1156289908207438,0.04064948413766166,2.2363106506382935,0.3466638106255221,0.03352443846400367,1.0,2057.326602349725,1.9291174607241728,0.0,0.13219503798323845
0.5134580238791905,0.30800053707123853,0.16514520995799437,0.04844289497403252,3.962350220723087,0.2928735965087159,0.0016568202371980395,0.9977957481477862,2175.481469808021,1.9596936410676555,0.0,0.12750925025212323
0.49795091452280393,0.2410003851331919,0.10113118153944319,0.040730714545298585,2.218322903756799,0.3831185800271959,0.037740086189884794,0.9921026588458861,5993.85309789705,2.011241378111663,0.0,0.13562951791210542
